Gene_ID,P_Value,Adjusted_P_Value
P_1,0.008228631189166653,1.1437797352941648
P_2,0.06694523714563348,9.305387963243055
P_3,0.16365510603060698,22.74805973825437
P_4,0.37597742367483267,52.26086189080174
P_5,0.0035752075152679715,0.496953844622248
P_6,0.0570411541939207,7.928720432954978
P_7,0.010068488391719397,1.3995198864489962
P_8,0.34030187109002996,47.30196008151417
P_9,0.6288452032063525,87.40948324568299
P_10,0.15263968851838472,21.216916704055475
P_11,0.0009258419322914931,0.12869202858851753
P_12,0.5836689480817905,81.12998378336887
P_13,0.9804715243484862,136.28554188443957
P_14,0.008517036043723435,1.1838680100775574
P_15,0.3931935712928717,54.653906409709165
P_16,0.5454732803352675,75.82078596660219
P_17,0.13382986355672186,18.602351034384338
P_18,0.5698103723012053,79.20364174986754
P_19,1.0941646572372648e-06,0.0001520888873559798
P_20,0.36671980940187876,50.974053506861146
P_21,0.7042932661460539,97.8967639943015
P_22,0.1945613294723729,27.044024796659833
P_23,0.46333402582075567,64.40342958908504
P_24,0.2743258021617445,38.13128650048249
P_25,0.01455715032644114,2.023443895375318
P_26,0.5278466486033044,73.37068415585932
P_27,0.030961611837274215,4.303664045381116
P_28,0.31739834769487657,44.11837032958784
P_29,0.2802594388409158,38.9560619988873
P_30,2.223072963395135e-05,0.003090071419119238
P_31,0.0020068872466471824,0.27895732728395833
P_32,0.6267566994318099,87.11918122102158
P_33,0.026853448721348313,3.7326293722674153
P_34,0.6328648269407875,87.96821094476947
P_35,0.7787134773414933,108.24117335046758
P_36,0.4614940458026344,64.14767236656618
P_37,0.10550716011137311,14.665495255480861
P_38,0.5605323151434691,77.91399180494221
P_39,0.8070672509553074,112.18234788278772
P_40,0.21667953351956054,30.118455159218914
P_41,0.14798898059946822,20.57046830332608
P_42,0.3758666420313159,52.24546324235291
P_43,0.13622612176734475,18.93543092566092
P_44,0.3613421874487368,50.22656405537442
P_45,0.338555335663821,47.05919165727112
P_46,0.1137010344146748,15.804443783639798
P_47,0.2311307542964955,32.12717484721287
P_48,0.9733078632500767,135.28979299176066
P_49,0.166722762557987,23.174463995560192
P_50,0.6002543841343464,83.43535939467415
P_51,0.0016897632008956486,0.23487708492449516
P_52,0.09579878176199916,13.316030664917882
P_53,0.6357218660449655,88.3653393802502
P_54,0.00025391506728034315,0.0352941943519677
P_55,0.0002843039912572146,0.039518254784752835
P_56,0.0001905287192378204,0.026483491974057034
P_57,0.0026809080342518336,0.3726462167610049
P_58,0.011389809675469818,1.5831835448903047
P_59,1.3908390223633142e-05,0.0019332662410850067
P_60,0.048239433069848035,6.705281196708877
P_61,0.00023384239856079358,0.03250409339995031
P_62,1.8778813477185963e-06,0.00026102550733288487
P_63,0.0008384705019129553,0.1165473997659008
P_64,0.009156978571562818,1.2728200214472316
P_65,0.009665022391632895,1.3434381124369723
P_66,0.06446394192610977,8.960487927729258
P_67,0.00010661645692288154,0.014819687512280534
P_68,0.0005255854473397583,0.07305637718022641
P_69,0.0047745057799340376,0.6636563034108313
P_70,0.8740740986791267,121.49629971639861
P_71,0.408622349138827,56.798506530296955
P_72,0.20736453048083298,28.823669736835782
P_73,0.28008966784398814,38.932463830314354
P_74,0.02331390609401403,3.2406329470679505
P_75,0.16255763017216326,22.595510593930694
P_76,0.4246107876938089,59.02089948943944
P_77,0.3726946637436195,51.80455826036311
P_78,0.8252226982713818,114.70595505972207
P_79,0.9155909296216345,127.26713921740719
P_80,0.2235533265267052,31.073912387212022
P_81,0.28779894432996844,40.004053261865614
P_82,0.5724884844634941,79.57589934042568
P_83,0.05883003743112171,8.177375202925917
P_84,0.5212572819950076,72.45476219730607
P_85,0.5803514104803025,80.66884605676205
P_86,0.2036933541206079,28.3133762227645
P_87,0.9531544234497951,132.4884648595215
P_88,0.3084866622828381,42.879646057314496
P_89,0.09211169299195171,12.803525325881287
P_90,0.9375237066512399,130.31579522452233
P_91,0.3114639526854238,43.29348942327391
P_92,0.7033610759877758,97.76718956230083
P_93,0.09870360773922278,13.719801475751966
P_94,0.21627942932386887,30.062840676017775
P_95,0.41186904676280545,57.249797500029956
P_96,0.17196899771647928,23.903690682590618
P_97,0.742459625423898,103.20188793392182
P_98,0.9923032163108466,137.93014706720768
P_99,0.9718446275227606,135.08640322566373
P_100,0.24458612685452466,33.997471632778925
P_101,0.25558320140000473,35.52606499460066
P_102,0.6100138088615978,84.7919194317621
P_103,0.7601522413174067,105.66116154311953
P_104,0.9826959923802074,136.59474294084885
P_105,0.2154772530632429,29.951338175790763
P_106,0.49646524514213075,69.00866907475617
P_107,0.47341491519936385,65.80467321271158
P_108,1.5910898188282792e-06,0.00022116148481713082
P_109,0.8351577931300731,116.08693324508016
P_110,5.496785449666891e-10,7.640531775036979e-08
P_111,0.514469626463503,71.51127807842693
P_112,0.4561562250324107,63.40571527950509
P_113,0.796644250517778,110.73355082197114
P_114,0.8506358255756257,118.23837975501196
P_115,0.7754894913510926,107.79303929780187
P_116,0.15578649531486577,21.65432284876634
P_117,0.03325138229081657,4.621942138423503
P_118,0.7906501250986124,109.90036738870712
P_119,0.19901375967024315,27.6629125941638
P_120,0.8535248804812242,118.63995838689017
P_121,0.11536241019930771,16.03537501770377
P_122,0.4816141315291078,66.94436428254599
P_123,0.8189244690568633,113.830501198904
P_124,,
P_125,,
P_126,,
P_127,,
P_128,,
P_129,,
P_130,,
P_131,,
P_132,,
P_133,,
P_134,,
P_135,,
P_136,,
