Gene_ID,Gene_Name,Condition
ENSG00000219073,CELA3B,Pre-Transplant
ENSG00000236179,PRAMEF35P,Pre-Transplant
ENSG00000179172,HNRNPCL1,Pre-Transplant
ENSG00000116237,ICMT,Pre-Transplant
ENSG00000233072,RPS15AP6,Pre-Transplant
ENSG00000263811,MIR3675,Pre-Transplant
ENSG00000130772,MED18,Pre-Transplant
ENSG00000277862,PRAMEF34P,Pre-Transplant
ENSG00000142599,RERE,Pre-Transplant
ENSG00000116685,KIAA2013,Pre-Transplant
ENSG00000187961,KLHL17,Pre-Transplant
ENSG00000127481,UBR4,Pre-Transplant
ENSG00000198830,HMGN2,Pre-Transplant
ENSG00000207095,RNU6-424P,Pre-Transplant
ENSG00000162591,MEGF6,Pre-Transplant
ENSG00000177000,MTHFR,Pre-Transplant
ENSG00000125945,ZNF436,Pre-Transplant
ENSG00000270136,MICOS10-NBL1,Pre-Transplant
ENSG00000215908,CROCCP2,Pre-Transplant
ENSG00000169717,ACTRT2,Pre-Transplant
ENSG00000130770,ATP5IF1,Pre-Transplant
ENSG00000215906,LACTBL1,Pre-Transplant
ENSG00000239810,PRAMEF11,Pre-Transplant
ENSG00000162542,TMCO4,Pre-Transplant
ENSG00000226662,CHMP1AP1,Pre-Transplant
ENSG00000201725,RNU6-304P,Pre-Transplant
ENSG00000171819,ANGPTL7,Pre-Transplant
ENSG00000178821,TMEM52,Pre-Transplant
ENSG00000008128,CDK11A,Pre-Transplant
ENSG00000249087,ZNF436-AS1,Pre-Transplant
ENSG00000224311,WDTC1-DT,Pre-Transplant
ENSG00000188672,RHCE,Pre-Transplant
ENSG00000116329,OPRD1,Pre-Transplant
ENSG00000253086,RNU6-537P,Pre-Transplant
ENSG00000268869,ESPNP,Pre-Transplant
ENSG00000116138,DNAJC16,Pre-Transplant
ENSG00000187017,ESPN,Pre-Transplant
ENSG00000186543,CROCCP5,Pre-Transplant
ENSG00000236155,ZPLD2P,Pre-Transplant
ENSG00000237330,RNF223,Pre-Transplant
ENSG00000159023,EPB41,Pre-Transplant
ENSG00000229280,EEF1DP6,Pre-Transplant
ENSG00000009724,MASP2,Pre-Transplant
ENSG00000197880,MDS2,Pre-Transplant
ENSG00000179546,HTR1D,Pre-Transplant
ENSG00000227684,CROCCP4,Pre-Transplant
ENSG00000264101,MIR4689,Pre-Transplant
ENSG00000205231,TTLL10-AS1,Pre-Transplant
ENSG00000202415,RN7SKP269,Pre-Transplant
ENSG00000277058,HNRNPCL3,Pre-Transplant
ENSG00000230023,LINC02800,Pre-Transplant
ENSG00000008130,NADK,Pre-Transplant
ENSG00000224904,SBF1P2,Pre-Transplant
ENSG00000233623,PGAM1P11,Pre-Transplant
ENSG00000176083,ZNF683,Pre-Transplant
ENSG00000215790,SLC35E2A,Pre-Transplant
ENSG00000207607,MIR200A,Pre-Transplant
ENSG00000215905,RPL36P5,Pre-Transplant
ENSG00000162490,DRAXIN,Pre-Transplant
ENSG00000078369,GNB1,Pre-Transplant
ENSG00000214812,ARL8BP2,Pre-Transplant
ENSG00000218510,LINC00339,Pre-Transplant
ENSG00000265521,MIR5697,Pre-Transplant
ENSG00000236782,ZNF593OS,Pre-Transplant
ENSG00000240490,RN7SL277P,Pre-Transplant
ENSG00000207776,MIR551A,Pre-Transplant
ENSG00000116691,MIIP,Pre-Transplant
ENSG00000176378,PFN1P10,Pre-Transplant
ENSG00000186301,MST1P2,Pre-Transplant
ENSG00000189337,KAZN,Pre-Transplant
ENSG00000252417,RNU7-179P,Pre-Transplant
ENSG00000157881,PANK4,Pre-Transplant
ENSG00000116350,SRSF4,Pre-Transplant
ENSG00000197241,SLC2A7,Pre-Transplant
ENSG00000183726,TMEM50A,Pre-Transplant
ENSG00000158786,PLA2G2F,Pre-Transplant
ENSG00000142655,PEX14,Pre-Transplant
ENSG00000238199,UBE2V2P3,Pre-Transplant
ENSG00000243539,RN7SL649P,Pre-Transplant
ENSG00000266075,RN7SL574P,Pre-Transplant
ENSG00000162571,TTLL10,Pre-Transplant
ENSG00000224340,RPL21P21,Pre-Transplant
ENSG00000229162,RUNX3-AS1,Pre-Transplant
ENSG00000233954,UQCRHL,Pre-Transplant
ENSG00000142684,ZNF593,Pre-Transplant
ENSG00000219481,NBPF1,Pre-Transplant
ENSG00000159189,C1QC,Pre-Transplant
ENSG00000230228,H3P1,Pre-Transplant
ENSG00000127472,PLA2G5,Pre-Transplant
ENSG00000269732,WBP1LP7,Pre-Transplant
ENSG00000284357,MIR34A,Pre-Transplant
ENSG00000176092,CRYBG2,Pre-Transplant
ENSG00000233431,LINC02596,Pre-Transplant
ENSG00000232298,GRHL3-AS1,Pre-Transplant
ENSG00000132906,CASP9,Pre-Transplant
ENSG00000142583,SLC2A5,Pre-Transplant
ENSG00000171608,PIK3CD,Pre-Transplant
ENSG00000201273,RNU6-776P,Pre-Transplant
ENSG00000188976,NOC2L,Pre-Transplant
ENSG00000207235,Y_RNA,Pre-Transplant
ENSG00000243521,RPL5P33,Pre-Transplant
ENSG00000188662,H1-9P,Pre-Transplant
ENSG00000141194,OR4D1,Pre-Transplant
ENSG00000249838,SUMO2P7,Pre-Transplant
ENSG00000238658,RNU6-625P,Pre-Transplant
ENSG00000173818,ENDOV,Pre-Transplant
ENSG00000078687,TNRC6C,Pre-Transplant
ENSG00000204414,CSHL1,Pre-Transplant
ENSG00000256826,ATP5MFP4,Pre-Transplant
ENSG00000198909,MAP3K3,Pre-Transplant
ENSG00000167100,SAMD14,Pre-Transplant
ENSG00000212469,RNU6-1158P,Pre-Transplant
ENSG00000271605,MILR1,Pre-Transplant
ENSG00000136457,CHAD,Pre-Transplant
ENSG00000133193,VCF1,Pre-Transplant
ENSG00000267302,RNFT1-DT,Pre-Transplant
ENSG00000141577,CEP131,Pre-Transplant
ENSG00000263558,RN7SL716P,Pre-Transplant
ENSG00000006283,CACNA1G,Pre-Transplant
ENSG00000204283,LINC01973,Pre-Transplant
ENSG00000252212,RNU2-58P,Pre-Transplant
ENSG00000092931,MFSD11,Pre-Transplant
ENSG00000170832,USP32,Pre-Transplant
ENSG00000266992,DHX40P1,Pre-Transplant
ENSG00000199492,RNU6-1313P,Pre-Transplant
ENSG00000167281,RBFOX3,Pre-Transplant
ENSG00000278261,SNORD1A,Pre-Transplant
ENSG00000182481,KPNA2,Pre-Transplant
ENSG00000267719,LINC02078,Pre-Transplant
ENSG00000267416,HEATR6-DT,Pre-Transplant
ENSG00000242889,RN7SL449P,Pre-Transplant
ENSG00000172782,FADS6,Pre-Transplant
ENSG00000173838,MARCHF10,Pre-Transplant
ENSG00000264672,SEPTIN4-AS1,Pre-Transplant
ENSG00000200021,RNA5SP448,Pre-Transplant
ENSG00000256525,POLG2,Pre-Transplant
ENSG00000249906,NGFR-AS1,Pre-Transplant
ENSG00000123700,KCNJ2,Pre-Transplant
ENSG00000141522,ARHGDIA,Pre-Transplant
ENSG00000108479,GALK1,Pre-Transplant
ENSG00000108588,CCDC47,Pre-Transplant
ENSG00000252534,Y_RNA,Pre-Transplant
ENSG00000108469,RECQL5,Pre-Transplant
ENSG00000202332,Y_RNA,Pre-Transplant
ENSG00000073350,LLGL2,Pre-Transplant
ENSG00000141524,TMC6,Pre-Transplant
ENSG00000108984,MAP2K6,Pre-Transplant
ENSG00000266066,POLRMTP1,Pre-Transplant
ENSG00000251981,RNU7-52P,Pre-Transplant
ENSG00000251764,RNA5SP446,Pre-Transplant
ENSG00000185105,MYADML2,Pre-Transplant
ENSG00000265206,MIR142HG,Pre-Transplant
ENSG00000207021,Y_RNA,Pre-Transplant
ENSG00000267280,TBX2-AS1,Pre-Transplant
ENSG00000181038,METTL23,Pre-Transplant
ENSG00000136450,SRSF1,Pre-Transplant
ENSG00000257949,TEN1,Pre-Transplant
ENSG00000185332,TMEM105,Pre-Transplant
ENSG00000246731,MGC16275,Pre-Transplant
ENSG00000181523,SGSH,Pre-Transplant
ENSG00000214226,C17orf67,Pre-Transplant
ENSG00000263004,AKAP1-DT,Pre-Transplant
ENSG00000129667,RHBDF2,Pre-Transplant
ENSG00000167107,ACSF2,Pre-Transplant
ENSG00000283805,MIR636,Pre-Transplant
ENSG00000186074,CD300LF,Pre-Transplant
ENSG00000267472,ARHGAP27P2,Pre-Transplant
ENSG00000267365,KCNJ2-AS1,Pre-Transplant
ENSG00000178607,ERN1,Pre-Transplant
ENSG00000170836,PPM1D,Pre-Transplant
ENSG00000207996,MIR301A,Pre-Transplant
ENSG00000287431,RENO1,Pre-Transplant
ENSG00000153982,GDPD1,Pre-Transplant
ENSG00000267128,RNF157-AS1,Pre-Transplant
ENSG00000232083,RPL31P7,Pre-Transplant
ENSG00000266402,SNHG25,Pre-Transplant
ENSG00000284172,MIR4315-2,Pre-Transplant
ENSG00000121068,TBX2,Pre-Transplant
ENSG00000161533,ACOX1,Pre-Transplant
ENSG00000167863,ATP5PD,Pre-Transplant
ENSG00000075461,CACNG4,Pre-Transplant
ENSG00000108387,SEPTIN4,Pre-Transplant
ENSG00000180901,KCTD2,Pre-Transplant
ENSG00000141527,CARD14,Pre-Transplant
ENSG00000259349,APPBP2-DT,Pre-Transplant
ENSG00000284353,MIR142,Pre-Transplant
ENSG00000177885,GRB2,Pre-Transplant
ENSG00000262223,LINC03048,Pre-Transplant
ENSG00000248714,ZNF652-AS1,Pre-Transplant
ENSG00000185504,FAAP100,Pre-Transplant
ENSG00000200842,Y_RNA,Pre-Transplant
ENSG00000181045,SLC26A11,Pre-Transplant
ENSG00000224383,PRR29,Pre-Transplant
ENSG00000263887,USP32P4,Pre-Transplant
ENSG00000187997,C17orf99,Pre-Transplant
ENSG00000249497,LINC02075,Pre-Transplant
ENSG00000129646,QRICH2,Pre-Transplant
ENSG00000232724,TRIM80P,Pre-Transplant
ENSG00000109089,CDR2L,Pre-Transplant
ENSG00000129673,AANAT,Pre-Transplant
ENSG00000005884,ITGA3,Pre-Transplant
ENSG00000200257,RNU6-97P,Pre-Transplant
ENSG00000184640,SEPTIN9,Pre-Transplant
ENSG00000266036,SLC9A3R1-AS1,Pre-Transplant
ENSG00000204347,BTBD17,Pre-Transplant
ENSG00000167895,TMC8,Pre-Transplant
ENSG00000182676,PPP1R27,Pre-Transplant
ENSG00000064195,DLX3,Pre-Transplant
ENSG00000136463,TACO1,Pre-Transplant
ENSG00000011258,MBTD1,Pre-Transplant
ENSG00000246640,PICART1,Pre-Transplant
ENSG00000275143,SCARNA16,Pre-Transplant
ENSG00000201524,RNU6-450P,Pre-Transplant
ENSG00000227011,LINC02876,Pre-Transplant
ENSG00000180891,CUEDC1,Pre-Transplant
ENSG00000130935,NOL11,Pre-Transplant
ENSG00000267203,SNRPGP4,Pre-Transplant
ENSG00000108848,LUC7L3,Pre-Transplant
ENSG00000227694,RPL23AP74,Pre-Transplant
ENSG00000176809,LRRC37A3,Pre-Transplant
ENSG00000035862,TIMP2,Pre-Transplant
ENSG00000266665,MIR4739,Pre-Transplant
ENSG00000167117,ANKRD40CL,Pre-Transplant
ENSG00000204323,SMIM5,Pre-Transplant
ENSG00000120063,GNA13,Pre-Transplant
ENSG00000173894,CBX2,Pre-Transplant
ENSG00000213128,RPL32P31,Pre-Transplant
ENSG00000132478,UNK,Pre-Transplant
ENSG00000141519,CCDC40,Pre-Transplant
ENSG00000266473,HELZ-AS1,Pre-Transplant
ENSG00000108384,RAD51C,Pre-Transplant
ENSG00000187531,SIRT7,Pre-Transplant
ENSG00000175931,UBE2O,Pre-Transplant
ENSG00000179604,CDC42EP4,Pre-Transplant
ENSG00000264026,LINC02003,Pre-Transplant
ENSG00000199801,Y_RNA,Pre-Transplant
ENSG00000108389,MTMR4,Pre-Transplant
ENSG00000141564,RPTOR,Pre-Transplant
ENSG00000161509,GRIN2C,Pre-Transplant
ENSG00000242931,RPL7P49,Pre-Transplant
ENSG00000177728,TMEM94,Pre-Transplant
ENSG00000108878,CACNG1,Pre-Transplant
ENSG00000266074,BAHCC1,Pre-Transplant
ENSG00000200394,SNORA38B,Pre-Transplant
ENSG00000225180,PVALEF,Pre-Transplant
ENSG00000008283,CYB561,Pre-Transplant
ENSG00000239672,NME1,Pre-Transplant
ENSG00000153944,MSI2,Pre-Transplant
ENSG00000183691,NOG,Pre-Transplant
ENSG00000261408,TEN1-CDK3,Pre-Transplant
ENSG00000253506,NACA2,Pre-Transplant
ENSG00000007312,CD79B,Pre-Transplant
ENSG00000211514,MIR454,Pre-Transplant
ENSG00000169718,DUS1L,Pre-Transplant
ENSG00000207943,MIR634,Pre-Transplant
ENSG00000167105,TMEM92,Pre-Transplant
ENSG00000283853,MIR4738,Pre-Transplant
ENSG00000173918,C1QTNF1,Pre-Transplant
ENSG00000177338,LINC00469,Pre-Transplant
ENSG00000132471,WBP2,Pre-Transplant
ENSG00000228118,MYL6P5,Pre-Transplant
ENSG00000171595,DNAI2,Pre-Transplant
ENSG00000154265,ABCA5,Pre-Transplant
ENSG00000108679,LGALS3BP,Pre-Transplant
ENSG00000159224,GIP,Pre-Transplant
ENSG00000239527,RPS23P7,Pre-Transplant
ENSG00000167851,CD300A,Pre-Transplant
ENSG00000129654,FOXJ1,Pre-Transplant
ENSG00000181610,MRPS23,Pre-Transplant
ENSG00000252545,RNU6-362P,Pre-Transplant
ENSG00000108846,ABCC3,Pre-Transplant
ENSG00000242398,RN7SL800P,Pre-Transplant
ENSG00000178404,CEP295NL,Pre-Transplant
ENSG00000270587,FAM136DP,Pre-Transplant
ENSG00000121053,EPX,Pre-Transplant
ENSG00000265688,MILIP,Pre-Transplant
ENSG00000177369,FLJ40194,Pre-Transplant
ENSG00000154263,ABCA10,Pre-Transplant
ENSG00000258890,CEP95,Pre-Transplant
ENSG00000171634,BPTF,Pre-Transplant
ENSG00000267452,LINC02073,Pre-Transplant
ENSG00000108946,PRKAR1A,Pre-Transplant
ENSG00000264769,MAFG-AS1,Pre-Transplant
ENSG00000227517,LINC01483,Pre-Transplant
ENSG00000229590,MSX2P1,Pre-Transplant
ENSG00000221025,MIR1250,Pre-Transplant
ENSG00000266501,ATG12P1,Pre-Transplant
ENSG00000266648,SETP3,Pre-Transplant
ENSG00000244044,RN7SL735P,Pre-Transplant
ENSG00000267170,CALM2P1,Pre-Transplant
ENSG00000187959,CPSF4L,Pre-Transplant
ENSG00000136488,CSH1,Pre-Transplant
ENSG00000264961,MIR4730,Pre-Transplant
ENSG00000251865,RNU6-518P,Pre-Transplant
ENSG00000167881,SRP68,Pre-Transplant
ENSG00000108510,MED13,Pre-Transplant
ENSG00000172809,RPL38,Pre-Transplant
ENSG00000212418,RNY4P36,Pre-Transplant
ENSG00000226137,BAIAP2-DT,Pre-Transplant
ENSG00000141338,ABCA8,Pre-Transplant
ENSG00000262135,GARS1P1,Pre-Transplant
ENSG00000108950,FAM20A,Pre-Transplant
ENSG00000267772,LINC01999,Pre-Transplant
ENSG00000267535,LINC00868,Pre-Transplant
ENSG00000266392,MIR4740,Pre-Transplant
ENSG00000260785,CASC17,Pre-Transplant
ENSG00000267659,LINC01482,Pre-Transplant
ENSG00000136436,CALCOCO2,Pre-Transplant
ENSG00000207561,MIR635,Pre-Transplant
ENSG00000154975,CA10,Pre-Transplant
ENSG00000182575,NXPH3,Pre-Transplant
ENSG00000157637,SLC38A10,Pre-Transplant
ENSG00000267361,SEC24AP1,Pre-Transplant
ENSG00000129657,SEC14L1,Pre-Transplant
ENSG00000188878,FBF1,Pre-Transplant
ENSG00000108819,PPP1R9B,Pre-Transplant
ENSG00000005379,TSPOAP1,Pre-Transplant
ENSG00000187775,DNAH17,Pre-Transplant
ENSG00000197170,PSMD12,Pre-Transplant
ENSG00000173868,PHOSPHO1,Pre-Transplant
ENSG00000169710,FASN,Pre-Transplant
ENSG00000182612,TSPAN10,Pre-Transplant
ENSG00000222808,RNU4-47P,Pre-Transplant
ENSG00000243678,NME2,Pre-Transplant
ENSG00000159217,IGF2BP1,Pre-Transplant
ENSG00000185359,HGS,Pre-Transplant
ENSG00000261873,SMIM36,Pre-Transplant
ENSG00000262814,MRPL12,Pre-Transplant
ENSG00000267123,SCAT1,Pre-Transplant
ENSG00000141582,CBX4,Pre-Transplant
ENSG00000175175,PPM1E,Pre-Transplant
ENSG00000257008,GPR142,Pre-Transplant
ENSG00000108375,RNF43,Pre-Transplant
ENSG00000166329,CCDC182,Pre-Transplant
ENSG00000238898,RNU1-80P,Pre-Transplant
ENSG00000256124,LINC01152,Pre-Transplant
ENSG00000141540,TTYH2,Pre-Transplant
ENSG00000207688,MIR548AA2,Pre-Transplant
ENSG00000141337,ARSG,Pre-Transplant
ENSG00000186407,CD300E,Pre-Transplant
ENSG00000200783,RN7SKP180,Pre-Transplant
ENSG00000213246,SUPT4H1,Pre-Transplant
ENSG00000167850,CD300C,Pre-Transplant
ENSG00000250107,CACNA1G-AS1,Pre-Transplant
ENSG00000263690,MIR548D2,Pre-Transplant
ENSG00000249383,LINC02071,Pre-Transplant
ENSG00000108654,DDX5,Pre-Transplant
ENSG00000136478,TEX2,Pre-Transplant
ENSG00000175866,BAIAP2,Pre-Transplant
ENSG00000154262,ABCA6,Pre-Transplant
ENSG00000213180,RPL36AP48,Pre-Transplant
ENSG00000185624,P4HB,Pre-Transplant
ENSG00000207127,Y_RNA,Pre-Transplant
ENSG00000237560,LINC01497,Pre-Transplant
ENSG00000196704,AMZ2,Pre-Transplant
ENSG00000222976,RN7SKP94,Pre-Transplant
ENSG00000199753,SNORD104,Pre-Transplant
ENSG00000062725,APPBP2,Pre-Transplant
ENSG00000087995,METTL2A,Pre-Transplant
ENSG00000264364,DYNLL2,Pre-Transplant
ENSG00000284542,MIR3614,Pre-Transplant
ENSG00000283604,MIR338,Pre-Transplant
ENSG00000167880,EVPL,Pre-Transplant
ENSG00000108932,SLC16A6,Pre-Transplant
ENSG00000262772,LINC01977,Pre-Transplant
ENSG00000170190,SLC16A5,Pre-Transplant
ENSG00000200013,RNU6-623P,Pre-Transplant
ENSG00000270714,MICOS10P2,Pre-Transplant
ENSG00000267065,LINC02080,Pre-Transplant
ENSG00000263843,MIF4GD-DT,Pre-Transplant
ENSG00000176160,HSF5,Pre-Transplant
ENSG00000267463,UBE2V2P2,Pre-Transplant
ENSG00000255713,OR4D2,Pre-Transplant
ENSG00000263317,LINC01982,Pre-Transplant
ENSG00000252391,RNU6-638P,Pre-Transplant
ENSG00000228979,PPIAP55,Pre-Transplant
ENSG00000267708,RDM1P3,Pre-Transplant
ENSG00000167862,MRPL58,Pre-Transplant
ENSG00000136492,BRIP1,Pre-Transplant
ENSG00000259120,SMIM6,Pre-Transplant
ENSG00000204278,TMEM235,Pre-Transplant
ENSG00000089685,BIRC5,Pre-Transplant
ENSG00000229980,TOB1-AS1,Pre-Transplant
ENSG00000238759,RNU7-155P,Pre-Transplant
ENSG00000011052,NME1-NME2,Pre-Transplant
ENSG00000266537,SPDYE22P,Pre-Transplant
ENSG00000062716,VMP1,Pre-Transplant
ENSG00000136444,RSAD1,Pre-Transplant
ENSG00000235183,SRP14P3,Pre-Transplant
ENSG00000167085,PHB1,Pre-Transplant
ENSG00000183034,OTOP2,Pre-Transplant
ENSG00000239823,Y_RNA,Pre-Transplant
ENSG00000251179,TMEM92-AS1,Pre-Transplant
ENSG00000167083,GNGT2,Pre-Transplant
ENSG00000011028,MRC2,Pre-Transplant
ENSG00000224877,NDUFAF8,Pre-Transplant
ENSG00000108798,ABI3,Pre-Transplant
ENSG00000121057,AKAP1,Pre-Transplant
ENSG00000284190,MIR21,Pre-Transplant
ENSG00000207169,RNU6-24P,Pre-Transplant
ENSG00000261965,ISCA1P3,Pre-Transplant
ENSG00000233380,RPS2P48,Pre-Transplant
ENSG00000141376,BCAS3,Pre-Transplant
ENSG00000108406,DHX40,Pre-Transplant
ENSG00000055483,USP36,Pre-Transplant
ENSG00000108823,SGCA,Pre-Transplant
ENSG00000261192,RNF126P1,Pre-Transplant
ENSG00000108854,SMURF2,Pre-Transplant
ENSG00000267676,THA1P,Pre-Transplant
ENSG00000224011,RPL36AP46,Pre-Transplant
ENSG00000185269,NOTUM,Pre-Transplant
ENSG00000241157,RPL32P32,Pre-Transplant
ENSG00000171302,CANT1,Pre-Transplant
ENSG00000214087,ARL16,Pre-Transplant
ENSG00000206713,Y_RNA,Pre-Transplant
ENSG00000141219,C17orf80,Pre-Transplant
ENSG00000264511,MIR3678,Pre-Transplant
ENSG00000180616,SSTR2,Pre-Transplant
ENSG00000248278,SUMO2P17,Pre-Transplant
ENSG00000262870,CYCSP40,Pre-Transplant
ENSG00000267207,BCAS3-AS1,Pre-Transplant
ENSG00000125398,SOX9,Pre-Transplant
ENSG00000214176,PLEKHM1P1,Pre-Transplant
ENSG00000108443,RPS6KB1,Pre-Transplant
ENSG00000284595,MIR6785,Pre-Transplant
ENSG00000154217,PITPNC1,Pre-Transplant
ENSG00000263586,HID1-AS1,Pre-Transplant
ENSG00000108506,INTS2,Pre-Transplant
ENSG00000270264,NDUFB8P2,Pre-Transplant
ENSG00000214140,PRCD,Pre-Transplant
ENSG00000265262,TRMT112P3,Pre-Transplant
ENSG00000263520,LINC02563,Pre-Transplant
ENSG00000266714,MYO15B,Pre-Transplant
ENSG00000146872,TLK2,Pre-Transplant
ENSG00000238283,TBC1D3P1,Pre-Transplant
ENSG00000184009,ACTG1,Pre-Transplant
ENSG00000153822,KCNJ16,Pre-Transplant
ENSG00000251698,RNA5SP445,Pre-Transplant
ENSG00000275562,SEPTIN7P12,Pre-Transplant
ENSG00000199735,RNU6-227P,Pre-Transplant
ENSG00000240280,TCAM1P,Pre-Transplant
ENSG00000252242,RNU7-115P,Pre-Transplant
ENSG00000108669,CYTH1,Pre-Transplant
ENSG00000265331,MIR4524B,Pre-Transplant
ENSG00000264399,MIR4736,Pre-Transplant
ENSG00000136485,DCAF7,Pre-Transplant
ENSG00000215644,GCGR,Pre-Transplant
ENSG00000181409,AATK,Pre-Transplant
ENSG00000200903,RNU1-42P,Pre-Transplant
ENSG00000136451,VEZF1,Pre-Transplant
ENSG00000159202,UBE2Z,Pre-Transplant
ENSG00000175155,YPEL2,Pre-Transplant
ENSG00000167447,SMG8,Pre-Transplant
ENSG00000136487,GH2,Pre-Transplant
ENSG00000266826,IGBP1C,Pre-Transplant
ENSG00000108395,TRIM37,Pre-Transplant
ENSG00000262759,MRPS21P9,Pre-Transplant
ENSG00000141179,PCTP,Pre-Transplant
ENSG00000226101,LINC02097,Pre-Transplant
ENSG00000284186,MIR3615,Pre-Transplant
ENSG00000108960,MMD,Pre-Transplant
ENSG00000207382,Y_RNA,Pre-Transplant
ENSG00000266970,SOCS3-DT,Pre-Transplant
ENSG00000108813,DLX4,Pre-Transplant
ENSG00000248883,B4GALNT2P1,Pre-Transplant
ENSG00000225663,MCRIP1,Pre-Transplant
ENSG00000121101,TEX14,Pre-Transplant
ENSG00000108826,MRPL27,Pre-Transplant
ENSG00000204316,MRPL38,Pre-Transplant
ENSG00000252042,Y_RNA,Pre-Transplant
ENSG00000108592,FTSJ3,Pre-Transplant
ENSG00000166685,COG1,Pre-Transplant
ENSG00000277478,MIR6165,Pre-Transplant
ENSG00000266173,STRADA,Pre-Transplant
ENSG00000200651,Y_RNA,Pre-Transplant
ENSG00000109062,NHERF1,Pre-Transplant
ENSG00000264569,DCXR-DT,Pre-Transplant
ENSG00000234899,SOX9-AS1,Pre-Transplant
ENSG00000266820,KPNA2P3,Pre-Transplant
ENSG00000185262,UBALD2,Pre-Transplant
ENSG00000264322,RN7SL448P,Pre-Transplant
ENSG00000264049,MIR4737,Pre-Transplant
ENSG00000200107,RNU6-1249P,Pre-Transplant
ENSG00000266357,LINC02074,Pre-Transplant
ENSG00000251809,RN7SKP14,Pre-Transplant
ENSG00000266943,RPSAP66,Pre-Transplant
ENSG00000068489,PRR11,Pre-Transplant
ENSG00000267376,ATP5MGP6,Pre-Transplant
ENSG00000141570,CBX8,Pre-Transplant
ENSG00000125445,MRPS7,Pre-Transplant
ENSG00000200889,RNU4-13P,Pre-Transplant
ENSG00000015532,XYLT2,Pre-Transplant
ENSG00000167080,B4GALNT2,Pre-Transplant
ENSG00000199961,SNORD1B,Pre-Transplant
ENSG00000136490,LIMD2,Pre-Transplant
ENSG00000170703,TTLL6,Pre-Transplant
ENSG00000187504,RPL7P48,Pre-Transplant
ENSG00000132470,ITGB4,Pre-Transplant
ENSG00000266858,RPSAP67,Pre-Transplant
ENSG00000284250,MIR6516,Pre-Transplant
ENSG00000108924,HLF,Pre-Transplant
ENSG00000125458,NT5C,Pre-Transplant
ENSG00000125450,NUP85,Pre-Transplant
ENSG00000264954,PRR29-AS1,Pre-Transplant
ENSG00000182687,GALR2,Pre-Transplant
ENSG00000169733,RFNG,Pre-Transplant
ENSG00000252685,RNU6-928P,Pre-Transplant
ENSG00000229944,EIF4EP2,Pre-Transplant
ENSG00000198231,DDX42,Pre-Transplant
ENSG00000264270,SAP30BP-AS1,Pre-Transplant
ENSG00000213228,RPL12P38,Pre-Transplant
ENSG00000265415,PRR11-AS1,Pre-Transplant
ENSG00000261371,PECAM1,Pre-Transplant
ENSG00000176358,TAC4,Pre-Transplant
ENSG00000161526,SAP30BP,Pre-Transplant
ENSG00000263647,BPTFP1,Pre-Transplant
ENSG00000198265,HELZ,Pre-Transplant
ENSG00000200560,RNU6-288P,Pre-Transplant
ENSG00000183077,AFMID,Pre-Transplant
ENSG00000069188,SDK2,Pre-Transplant
ENSG00000182446,NPLOC4,Pre-Transplant
ENSG00000234912,SNHG20,Pre-Transplant
ENSG00000186919,ZACN,Pre-Transplant
ENSG00000141198,TOM1L1,Pre-Transplant
ENSG00000064300,NGFR,Pre-Transplant
ENSG00000263125,ARL2BPP8,Pre-Transplant
ENSG00000141232,TOB1,Pre-Transplant
ENSG00000264529,DNAJB6P8,Pre-Transplant
ENSG00000159640,ACE,Pre-Transplant
ENSG00000204277,LINC01993,Pre-Transplant
ENSG00000171298,GAA,Pre-Transplant
ENSG00000173714,WFIKKN2,Pre-Transplant
ENSG00000169738,DCXR,Pre-Transplant
ENSG00000011260,UTP18,Pre-Transplant
ENSG00000159199,ATP5MC1,Pre-Transplant
ENSG00000169727,GPS1,Pre-Transplant
ENSG00000202361,Y_RNA,Pre-Transplant
ENSG00000068097,HEATR6,Pre-Transplant
ENSG00000154258,ABCA9,Pre-Transplant
ENSG00000201340,Y_RNA,Pre-Transplant
ENSG00000169750,RAC3,Pre-Transplant
ENSG00000108604,SMARCD2,Pre-Transplant
ENSG00000275360,MIR6868,Pre-Transplant
ENSG00000213218,CSH2,Pre-Transplant
ENSG00000141569,TRIM65,Pre-Transplant
ENSG00000163597,SNHG16,Pre-Transplant
ENSG00000172794,RAB37,Pre-Transplant
ENSG00000278200,LINC01971,Pre-Transplant
ENSG00000227036,LINC00511,Pre-Transplant
ENSG00000121058,COIL,Pre-Transplant
ENSG00000141552,ANAPC11,Pre-Transplant
ENSG00000242123,RPL36AP47,Pre-Transplant
ENSG00000182156,ENPP7,Pre-Transplant
ENSG00000075429,CACNG5,Pre-Transplant
ENSG00000178789,CD300LB,Pre-Transplant
ENSG00000266189,MIR3186,Pre-Transplant
ENSG00000234721,LINC02092,Pre-Transplant
ENSG00000167291,TBC1D16,Pre-Transplant
ENSG00000011143,MKS1,Pre-Transplant
ENSG00000212195,U3,Pre-Transplant
ENSG00000185813,PCYT2,Pre-Transplant
ENSG00000267432,DNAH17-AS1,Pre-Transplant
ENSG00000255851,Metazoa_SRP,Pre-Transplant
ENSG00000243514,RPL32P33,Pre-Transplant
ENSG00000121067,SPOP,Pre-Transplant
ENSG00000278873,PRO1804,Pre-Transplant
ENSG00000167280,ENGASE,Pre-Transplant
ENSG00000172421,EFCAB3,Pre-Transplant
ENSG00000008294,SPAG9,Pre-Transplant
