Gene_ID,Gene_Name,Condition
ENSG00000239470,RPL21P97,Pre-Transplant
ENSG00000255308,CSRP3-AS1,Pre-Transplant
ENSG00000255387,RDXP1,Pre-Transplant
ENSG00000254871,FBLIM1P2,Pre-Transplant
ENSG00000255424,MRGPRX9P,Pre-Transplant
ENSG00000224295,OLFM5P,Pre-Transplant
ENSG00000272882,OR2BH1P,Pre-Transplant
ENSG00000283605,OR4C48P,Pre-Transplant
ENSG00000223735,OR51B3P,Pre-Transplant
ENSG00000133816,MICAL2,Pre-Transplant
ENSG00000211568,MIR670,Pre-Transplant
ENSG00000188162,OTOG,Pre-Transplant
ENSG00000197702,PARVA,Pre-Transplant
ENSG00000254624,OR4R3P,Pre-Transplant
ENSG00000171714,ANO5,Pre-Transplant
ENSG00000166387,PPFIBP2,Pre-Transplant
ENSG00000213785,AKR1B1P3,Pre-Transplant
ENSG00000255291,HMGB1P40,Pre-Transplant
ENSG00000109920,FNBP4,Pre-Transplant
ENSG00000264603,MIR3159,Pre-Transplant
ENSG00000132256,TRIM5,Pre-Transplant
ENSG00000254831,KRT18P58,Pre-Transplant
ENSG00000158042,MRPL17,Pre-Transplant
ENSG00000148926,ADM,Pre-Transplant
ENSG00000255227,LINC03096,Pre-Transplant
ENSG00000175520,UBQLN3,Pre-Transplant
ENSG00000148985,PGAP2,Pre-Transplant
ENSG00000123447,TYRL,Pre-Transplant
ENSG00000235661,MIR670HG,Pre-Transplant
ENSG00000205213,LGR4,Pre-Transplant
ENSG00000254472,OR4A49P,Pre-Transplant
ENSG00000255514,OR4B2P,Pre-Transplant
ENSG00000251862,MIR1343,Pre-Transplant
ENSG00000254496,CBX3P8,Pre-Transplant
ENSG00000186104,CYP2R1,Pre-Transplant
ENSG00000179532,DNHD1,Pre-Transplant
ENSG00000238304,RNU7-50P,Pre-Transplant
ENSG00000180913,OR56B3P,Pre-Transplant
ENSG00000133794,BMAL1,Pre-Transplant
ENSG00000265210,MIR4486,Pre-Transplant
ENSG00000255197,SLC39A13-AS1,Pre-Transplant
ENSG00000110148,CCKBR,Pre-Transplant
ENSG00000255359,CCDC179,Pre-Transplant
ENSG00000236919,PHKG1P3,Pre-Transplant
ENSG00000254529,MRGPRX7P,Pre-Transplant
ENSG00000264984,MIR5691,Pre-Transplant
ENSG00000254934,LINC00678,Pre-Transplant
ENSG00000110442,COMMD9,Pre-Transplant
ENSG00000271557,YPEL5P2,Pre-Transplant
ENSG00000273085,OR52E1,Pre-Transplant
ENSG00000184698,OR51M1,Pre-Transplant
ENSG00000166326,TRIM44,Pre-Transplant
ENSG00000135372,NAT10,Pre-Transplant
ENSG00000251381,LINC00958,Pre-Transplant
ENSG00000226288,OR52I2,Pre-Transplant
ENSG00000199883,RN7SKP90,Pre-Transplant
ENSG00000258817,OR4C13,Pre-Transplant
ENSG00000230484,OR51A10P,Pre-Transplant
ENSG00000133812,SBF2,Pre-Transplant
ENSG00000245573,BDNF-AS,Pre-Transplant
ENSG00000255141,HNRNPA1P76,Pre-Transplant
ENSG00000254708,MMADHCP2,Pre-Transplant
ENSG00000179241,LDLRAD3,Pre-Transplant
ENSG00000166441,RPL27A,Pre-Transplant
ENSG00000255370,CYCSP25,Pre-Transplant
ENSG00000200485,Y_RNA,Pre-Transplant
ENSG00000252905,RNA5SP330,Pre-Transplant
ENSG00000177112,IRAG1-AS1,Pre-Transplant
ENSG00000226616,OR52M2P,Pre-Transplant
ENSG00000255077,OR4X7P,Pre-Transplant
ENSG00000110680,CALCA,Pre-Transplant
ENSG00000165970,SLC6A5,Pre-Transplant
ENSG00000262655,SPON1,Pre-Transplant
ENSG00000255042,SEPTIN7P11,Pre-Transplant
ENSG00000166800,LDHAL6A,Pre-Transplant
ENSG00000254401,LINC02752,Pre-Transplant
ENSG00000110786,PTPN5,Pre-Transplant
ENSG00000234895,OR52X1P,Pre-Transplant
ENSG00000110756,HPS5,Pre-Transplant
ENSG00000255493,OR4A10P,Pre-Transplant
ENSG00000243964,RPL23AP65,Pre-Transplant
ENSG00000185926,OR4C46,Pre-Transplant
ENSG00000085117,CD82,Pre-Transplant
ENSG00000198730,CTR9,Pre-Transplant
ENSG00000134333,LDHA,Pre-Transplant
ENSG00000254465,THAP12P4,Pre-Transplant
ENSG00000205495,OR52J3,Pre-Transplant
ENSG00000254654,LINC02685,Pre-Transplant
ENSG00000252355,RN7SKP287,Pre-Transplant
ENSG00000225101,OR52K3P,Pre-Transplant
ENSG00000166352,IFTAP,Pre-Transplant
ENSG00000255106,RPL7AP79,Pre-Transplant
ENSG00000170955,CAVIN3,Pre-Transplant
ENSG00000284094,MIR6073,Pre-Transplant
ENSG00000261340,LINC01616,Pre-Transplant
ENSG00000050165,DKK3,Pre-Transplant
ENSG00000175518,UBQLNL,Pre-Transplant
ENSG00000254508,FBXO3-DT,Pre-Transplant
ENSG00000135387,CAPRIN1,Pre-Transplant
ENSG00000278483,MIR8087,Pre-Transplant
ENSG00000129083,COPB1,Pre-Transplant
ENSG00000255307,OR52B2,Pre-Transplant
ENSG00000254672,WEE2P1,Pre-Transplant
ENSG00000254819,ANO3-AS1,Pre-Transplant
ENSG00000110328,GALNT18,Pre-Transplant
ENSG00000260811,OR4C45,Pre-Transplant
ENSG00000255053,OR4A44P,Pre-Transplant
ENSG00000166483,WEE1,Pre-Transplant
ENSG00000237610,OR4C50P,Pre-Transplant
ENSG00000183251,OR51B4,Pre-Transplant
ENSG00000221996,OR52B4,Pre-Transplant
ENSG00000166452,AKIP1,Pre-Transplant
ENSG00000187079,TEAD1,Pre-Transplant
ENSG00000175213,ZNF408,Pre-Transplant
ENSG00000226157,OR52E3P,Pre-Transplant
ENSG00000254642,COX6CP5,Pre-Transplant
ENSG00000220948,TRIM51G,Pre-Transplant
ENSG00000255254,HIGD1AP5,Pre-Transplant
ENSG00000149089,APIP,Pre-Transplant
ENSG00000260629,BGLT3,Pre-Transplant
ENSG00000180210,F2,Pre-Transplant
ENSG00000236175,SSU72P6,Pre-Transplant
ENSG00000201564,RN7SKP50,Pre-Transplant
ENSG00000187747,OR52B6,Pre-Transplant
ENSG00000240385,RPS29P20,Pre-Transplant
ENSG00000233563,OR52E7P,Pre-Transplant
ENSG00000109881,CCDC34,Pre-Transplant
ENSG00000149050,ZNF214,Pre-Transplant
ENSG00000166363,OR10A5,Pre-Transplant
ENSG00000254670,RASSF10-DT,Pre-Transplant
ENSG00000213607,OR4A45P,Pre-Transplant
ENSG00000255400,LINC02989,Pre-Transplant
ENSG00000206806,Y_RNA,Pre-Transplant
ENSG00000224300,OR51P1P,Pre-Transplant
ENSG00000182334,OR5P3,Pre-Transplant
ENSG00000254541,MRGPRX6P,Pre-Transplant
ENSG00000198217,OR51H2P,Pre-Transplant
ENSG00000110436,SLC1A2,Pre-Transplant
ENSG00000151116,UEVLD,Pre-Transplant
ENSG00000167360,OR51Q1,Pre-Transplant
ENSG00000205177,C11orf91,Pre-Transplant
ENSG00000176798,OR51L1,Pre-Transplant
ENSG00000276639,MIR7154,Pre-Transplant
ENSG00000251991,RNU7-49P,Pre-Transplant
ENSG00000173432,SAA1,Pre-Transplant
ENSG00000255481,OR56A7P,Pre-Transplant
ENSG00000255335,LINC02729,Pre-Transplant
ENSG00000182053,TRIM49B,Pre-Transplant
ENSG00000183389,OR56A4,Pre-Transplant
ENSG00000236287,ZBED5,Pre-Transplant
ENSG00000254560,BBOX1-AS1,Pre-Transplant
ENSG00000166368,OR2D2,Pre-Transplant
ENSG00000221703,MIR302E,Pre-Transplant
ENSG00000051009,FHIP1B,Pre-Transplant
ENSG00000224411,HSP90AA2P,Pre-Transplant
ENSG00000188211,NCR3LG1,Pre-Transplant
ENSG00000176697,BDNF,Pre-Transplant
ENSG00000060749,QSER1,Pre-Transplant
ENSG00000254480,LINC02749,Pre-Transplant
ENSG00000175274,TP53I11,Pre-Transplant
ENSG00000279000,OR10A6,Pre-Transplant
ENSG00000167323,STIM1,Pre-Transplant
ENSG00000166833,NAV2,Pre-Transplant
ENSG00000280798,LINC00294,Pre-Transplant
ENSG00000180723,OR51A9P,Pre-Transplant
ENSG00000109911,ELP4,Pre-Transplant
ENSG00000205339,IPO7,Pre-Transplant
ENSG00000187479,C11orf96,Pre-Transplant
ENSG00000212551,U3,Pre-Transplant
ENSG00000241678,RPL21P94,Pre-Transplant
ENSG00000248424,OR51K1P,Pre-Transplant
ENSG00000166788,SAAL1,Pre-Transplant
ENSG00000157570,TSPAN18,Pre-Transplant
ENSG00000181023,OR56B1,Pre-Transplant
ENSG00000135363,LMO2,Pre-Transplant
ENSG00000180423,HARBI1,Pre-Transplant
ENSG00000263693,MIR3161,Pre-Transplant
ENSG00000255542,SLC1A2-AS2,Pre-Transplant
ENSG00000200685,Y_RNA,Pre-Transplant
ENSG00000148942,SLC5A12,Pre-Transplant
ENSG00000176922,OR51S1,Pre-Transplant
ENSG00000166199,ALKBH3,Pre-Transplant
ENSG00000279012,OR51B2,Pre-Transplant
ENSG00000254637,OR4A18P,Pre-Transplant
ENSG00000284438,SSU72L1,Pre-Transplant
ENSG00000254966,IGSF22-AS1,Pre-Transplant
ENSG00000255492,H3P33,Pre-Transplant
ENSG00000200615,Y_RNA,Pre-Transplant
ENSG00000221574,RNU6ATAC33P,Pre-Transplant
ENSG00000200336,RNA5SP333,Pre-Transplant
ENSG00000228661,STIM1-AS1,Pre-Transplant
ENSG00000181958,OR4A15,Pre-Transplant
ENSG00000254784,DNAAF11P1,Pre-Transplant
ENSG00000132109,TRIM21,Pre-Transplant
ENSG00000237388,OR4A47,Pre-Transplant
ENSG00000166796,LDHC,Pre-Transplant
